Аэродромный;Аэр/о/дро́м/н/ый.
Оскудевать;О/скуд/е/ва́/ть.

Оскуделый;О/скуд/е́/л/ый.

Оскудение;О/скуд/е́/ни/е [й/э].

Оскудеть;О/скуд/е́/ть.

Ослабевание;О/слаб/е/ва́/ни/е [й/э].

Ослабевать;О/слаб/е/ва́/ть.

Ослабелый;О/слаб/е́/л/ый.

Ослабеть;О/слаб/е́/ть.

Ослабитель;О/слаб/и́/тель/.

Ослабить;О/сла́б/и/ть.

Ослабление;О/слабл/е́ни/е [й/э].

Ослабленный;О/сла́бл/енн/ый.

Ослабнувший;О/сла́б/ну/вш/ий.

Ослабнуть;О/сла́б/ну/ть.

Ослабший;О/сла́б/ш/ий.

Ославленный;О/сла́вл/енн/ый.

Отбивание;От/би/ва́/ни/е [й/э].

Отбивка;От/би́/в/к/а.

Отбивная;От/би/в/н/а́я, -о́й.

Отбивной;От/би/в/н/о́й.

Отбитие;От/би́/ти/е [й/э].

Отбитый;От/би́/т/ый.

Отблаговестить;От/бла́г/о/вест/и/ть.

Отблагодарить;От/благодар/и́/ть.

Отблагодарённый;От/благодар/ённ/ый.

Отблеск;О́т/блеск/.

Отблескивать;От/бле́ск/ива/ть.

Отблестеть;От/блест/е́/ть.

Отблистать;От/блист/а́/ть, от/блист/а́/ю.

Отбой;От/бо́й/.

Отбойка;От/бо́й/к/а.

Отбойный;От/бо́й/н/ый.

Отбойщик;От/бо́й/щик/.

Отболеть;От/бол/е́/ть, от/бол/е́/ет.

Отбор;От/бо́р/.

Отборка;От/бо́р/к/а.

Отборник;От/бо́р/ник/.

Отборный;От/бо́р/н/ый.

Отборочный;От/бо́р/оч/н/ый.

Отбортовать;От/борт/ова́/ть.

Отбортовка;От/борт/о́в/к/а.

Отмочить;От/моч/и́/ть.

Отмочка;От/мо́ч/к/а.

Отмочный;От/мо́ч/н/ый.

Отмстить;От/мст/и́/ть, от/мщ/у́, от/мст/и́т.

Отмутить;От/мут/и́/ть.

Отмутка;От/му́т/к/а.

Отмученный;От/му́ч/енн/ый.

Отмучивание;От/му́ч/ива/ни/е [й/э].

Отмщать;От/мщ/а́/ть.

Отмщение;От/мщ/е́ни/е [й/э].

Отмщённый;От/мщ/ённ/ый.

Отмывание;От/мы/ва́/ни/е [й/э].

Отмывка;От/мы́/в/к/а.

Отмытый;От/мы́/т/ый.

Отмычка;От/мы́ч/к/а.

Отмякать;От/мяк/а́/ть.

Отмякнуть;От/мя́к/ну/ть.

Отмякший;От/мя́к/ш/ий.

Отмятый;От/мя́/т/ый.

Отмять;От/мя́/ть, ото/мн/у́.

Отнекиваться;От/не́/к/ива/ть/ся.

Отнереститься;От/нерест/и́/ть/ся.

Отнесение;От/нес/е́ни/е [й/э].

Отнесённый;От/нес/ённ/ый.

Обмин;Об/ми́н/.

Обминка;Об/ми́н/к/а.

Обмирание;Об/мир/а́/ни/е [й/э].

Обмирать;Об/мир/а́/ть.

Обмишуленный;Об/мишу́л/енн/ый.

Обмишуренный;Об/мишу́р/енн/ый.

Обмозгованный;Об/мозг/о́ва/нн/ый.

Обмозговать;Об/мозг/ова́/ть.

Обмокать;Об/мок/а́/ть.

Обмокнуть;Об/мо́к/ну/ть.

Обмокший;Об/мо́к/ш/ий.

Обмол;Об/мо́л/.

Обмолвиться;Об/мо́лв/и/ть/ся.

Обмолвка;Об/мо́лв/к/а.

Обмолот;Об/моло́т/.

Обмолоток;Об/моло́т/ок/.

Обмолоточный;Об/моло́т/оч/н/ый.

Обмолотый;Об/мо́л/о/т/ый.

Обмолоченный;Об/моло́ч/енн/ый.

Обмётывание 2;Об/мёт/ыва/ни/е² [й/э] (от об/мёт/ыва/ть²).

Обмётывать 1;Об/мёт/ыва/ть¹ (от об/мет/а́/ть¹).

Обмётывать 2;Об/мёт/ыва/ть² (от об/мет/а́/ть²).

Обмётываться;Об/мёт/ыва/ть/ся (от об/мёт/ыва/ть¹).

Подкладка;Под/кла́д/к/а.

Подкладной;Под/клад/н/о́й.

Подкладочный;Под/кла́д/оч/н/ый.

Подкласс;Под/кла́сс/.

Подклевать;Под/клева́/ть.

Подклеенный;Под/кле́/енн/ый.

Подклеивание;Под/кле́/ива/ни/е [й/э].

Подклеить;Под/кле́/и/ть.

Подклейка;Под/кле́й/к/а.

Подклепать;Под/клеп/а́/ть, под/клеп/а́/ю.

Подклювье;Под/клю́вь/е [/й/э].

Подключение;Под/ключ/е́ни/е (й/э].

Подключичный;Под/ключи́ч/н/ый.

Подключённый;Под/ключ/ённ/ый.

Подклёванный;Под/клёва/нн/ый.

Подклёпанный;Под/клёп/а/нн/ый.

Подклёпка;Под/клёп/к/а.

Подкова;Под/ко́в/а.

Подкованный;Под/ко́ва/нн/ый.

Подковка 1;Под/ко́в/к/а¹ (от под/кова́/ть).

Подковка 2;Под/ко́в/к/а² (от под/ко́в/а).

Подковный;Под/ко́в/н/ый.

Подковонос;Под/ков/о/но́с/.

Подковообразный;Под/ков/о/обра́з/н/ый.

Побродяга;По/брод/я́г/а, м. и ж.

Побрызганный;По/бры́зг/а/нн/ый.

Побрюзжать;По/брюзж/а́/ть.

Побрякивать;По/бря́к/ива/ть.

Побрякушка;По/бряк/у́шк/а.

Побряцать;По/бряц/а́/ть.

Побудительный;По/буд/и́/тельн/ый.

Побудить 1;По/буд/и́/ть¹ (от буд/и́/ть).

Побудить 2;По/буд/и́/ть² (от по/бужд/а́/ть).

Побудка;По/бу́д/к/а.

Побуждение;По/бужд/е́ни/е [й/э].

Побуждённый;По/бужд/ённ/ый.

Побуженный;По/бу́ж/енн/ый.

Побулькивать;По/бу́льк/ива/ть.

Побуреть;По/бур/е́/ть.

Побурлить;По/бурл/и́/ть.

Побурчать;По/бурч/а́/ть.

Побушевать;По/бушева́/ть.

Побуянить;По/бу/я́н/и/ть.

Побывальщина;По/бы/ва́/ль/щин/а.

Побывать;По/бы/ва́/ть.

Побывка;По/бы́/в/к/а.

Побыть;По/бы́/ть, по/бу́д/у.

Повадка;Пова́д/к/а.

Подкоренной;Под/корен/н/о́й.

Подкорка;Под/ко́р/к/а.

Подкорковый;Под/ко́р/к/ов/ый.

Подкорм;Под/ко́рм/.

Подкормка;Под/ко́рм/к/а.

Подкормленный;Под/ко́рмл/енн/ый.

Подкормочный;Под/ко́рм/оч/н/ый.

Подкорник;Под/ко́р/ник/.

Подкоротить;Под/корот/и́/ть.

Подкороченный;Под/коро́ч/енн/ый.

Подкорье;Под/ко́рь/е [й/э].

Подкос;Под/ко́с/.

Подкосина;Под/ко́с/ин/а.

Подкостный;Под/ко́ст/н/ый.

Подкошенный;Под/ко́ш/енн/ый.

Подкравшийся;Под/кра́/вш/ий/ся.

Подкрадываться;Под/кра́д/ыва/ть/ся.

Подкрановый;Под/кра́н/ов/ый.

Подкраска;Под/кра́с/к/а.

Подкрасться;Под/кра́с/ть/ся.

Подкрахмаленный;Под/крахма́л/енн/ый.

Подкрахмалить;Под/крахма́л/и/ть.

Подкрашенный;Под/кра́ш/енн/ый.

Подкрашивание;Под/кра́ш/ива/ни/е [й/э].

Перемеченный;Пере/ме́ч/енн/ый (от пере/ме́т/и/ть).

Перемешанный;Пере/ме́ш/а/нн/ый (от пере/меш/а́/ть).

Перемешенный;Пере/ме́ш/енн/ый (от пере/мес/и́/ть).

Перемешивание 1;Пере/ме́ш/ива/ни/е¹ [й/э] (от пере/ме́ш/ива/ть¹).

Перемешивание 2;Пере/ме́ш/ива/ни/е² [й/э] (от пере/ме́ш/ива/ть²).

Перемешивать 1;Пере/ме́ш/ива/ть¹ (тесто).

Перемешивать 2;Пере/ме́ш/ива/ть² (цемент с песком).

Перемещение;Пере/мещ/е́ни/е [й/э].

Перемещённый;Пере/мещ/ённ/ый.

Перемигиваться;Пере/ми́г/ива/ть/ся.

Перемигнуться;Пере/миг/ну́/ть/ся.

Перемирие;Пере/ми́р/и/е [й/э].

Перемирённый;Пере/мир/ённ/ый.

Перемножение;Пере/множ/е́ни/е [й/э].

Перемноженный;Пере/мно́ж/енн/ый.

Перемётка 2;Пере/мёт/к/а² (петель).

Перемётный;Пере/мёт/н/ый (крючок).

Перемётший;Пере/мёт/ш/ий.

Перемётывание 1;Пере/мёт/ыва/ни/е¹ [й/э] (стога).

Перемётывание 2;Пере/мёт/ыва/ни/е² [й/э] (петель).

Перемётывать 1;Пере/мёт/ыва/ть¹ (стог).

Перемётывать 2;Пере/мёт/ыва/ть² (все петли).

Плодосбор;Плод/о/с/бо́р/.

Плодосмен;Плод/о/с/ме́н/.

Плодосменный;Плод/о/с/ме́н/н/ый.

Плодосниматель;Плод/о/сним/а́/тель/.

Плодосушилка;Плод/о/суш/и́/л/к/а.

Плодосушильня;Плод/о/суш/и́/ль/н/я.

Плодосъём;Плод/о/съём/.

Плодотворный;Плод/о/тво́р/н/ый.

Плодохранилище;Плод/о/хран/и́/л/ищ/е.

Плодоягодный;Плод/о/я́год/н/ый.

Плодоядный;Плод/о/я́д/н/ый.

Плодущий;Плод/у́щ/ий.

Плойчатость;Пло́й/чат/ость/.

Пломба;Пло́мб/а.

Пломбир 1;Пломби́р/¹ (мороженое).

Пломбир 2;Пломб/и́р/² (от пло́мб/а).

Пломбирный;Пломби́р/н/ый (от пломби́р/¹).

Пломбирование;Пломб/ир/ова́/ни/е [й/э].

Пломбированный;Пломб/ир/о́ва/нн/ый.

Пломбировка;Пломб/ир/о́в/к/а.

Пломбировочный;Пломб/ир/о́в/оч/н/ый.

Плоский;Пло́ск/ий.

Плосковязальный;Плоск/о/вяз/а́/ль/н/ый.

Плоскоголовый;Плоск/о/голо́в/ый.

Плоённый;Пло/ённ/ый, прич.

Плоёный;Пло/ён/ый, прил.

Паниковать;Паник/ова́/ть.

Паникёр;Паник/ёр/.

Паникёрский;Паник/ёр/ск/ий.

Паникёрство;Паник/ёр/ств/о.

Паникёрствовать;Паник/ёр/ств/ова/ть.

Паникёрша;Паник/ёр/ш/а.

Паниранизм;Пан/иран/и́зм/.

Панировка;Паниро́в/к/а.

Панировочный;Паниро́в/оч/н/ый.

Панисламизм;Пан/ислам/и́зм/.

Панисламистский;Пан/ислам/и́ст/ск/ий.

Панихида;Панихи́д/а.

Панихидный;Панихи́д/н/ый.

Панический;Пани́ч/еск/ий.

Панк;Панк/.

Панкреас;Па́нкреас/.

Панкреатин;Панкреат/и́н/.

Панкреатит;Панкреат/и́т/.

Панкреатический;Панкреат/и́ческ/ий.

Панна;Па́н/н/а.

Панно;Панно́, нескл., с.

Панночка;Па́н/н/очк/а.

Пановать;Пан/ова́/ть.

Панорама;Панора́м/а.

Панорамирование;Панорам/и́р/ова/ни/е [й/э].

Панорамировать;Панорам/и́р/ова/ть.

Панорамный;Панора́м/н/ый.

Перечисление;Пере/числ/е́ни/е [й/э].

Перечисленный;Пере/чи́сл/енн/ый.

Перечистить;Пере/чи́ст/и/ть.

Перечистка;Пере/чи́ст/к/а.

Перечитанный;Пере/чи́т/а/нн/ый.

Перечитать;Пере/чит/а́/ть.

Перечитка;Пере/чи́т/к/а.

Перечить;Пере́ч/и/ть.

Перечищенный;Пере/чи́щ/енн/ый.

Перечник;Пе́реч/ник/.

Перечница;Пе́реч/ниц/а.

Перечный;Пе́реч/н/ый.

Перечокаться;Пере/чо́к/а/ть/ся.

Перечтённый;Пере/чт/ённ/ый.

Перечувствованный;Пере/чу́/в/ств/ова/нн/ый.

Перечувствовать;Пере/чу́/в/ств/ова/ть.

Перешагивать;Пере/ша́г/ива/ть.

Перешагнуть;Пере/шаг/ну́/ть.

Перешаренный;Пере/ша́р/енн/ый.

Перешарить;Пере/ша́р/и/ть.

Перешвырнутый;Пере/швы́р/ну/т/ый.

Перешвырнуть;Пере/швыр/ну́/ть.

Перешвырянный;Пере/швы́р/я/нн/ый.

Перешвырять;Пере/швыр/я́/ть.

Пневмобацилла;Пневм/о/баци́лл/а.

Пневмограмма;Пневм/о/гра́мм/а.

Пневмограф;Пневм/о́/граф/.

Пневмографический;Пневм/о/граф/и́ческ/ий.

Пневмография;Пневм/о/гра́ф/и/я [й/а].

Пневмодиафрагменный;Пневм/о/диафра́гм/енн/ый.

Пневмококк;Пневм/о/ко́кк/.

Пневмококковый;Пневм/о/ко́кк/ов/ый.
